,,,,,,
,,,,,,
Codigo,Loja,Nome,Vendedor,Repres. Ext.,Vendedor Coo,Gerente Vend
60555,1,INNOVATIVE BOTTLES BRAZIL CORP,,,,60310
60554,0,RELIABLE CONTAINERS ARGENTINA SA,,,,60310
60553,0,MODERN BUCKETS CANADA ENT,,,,60310
60552,1,SUSTAINABLE CHAIRS MEXICO LTDA,60653,,60717,60447
60552,4,SUSTAINABLE CHAIRS MEXICO LTDA,60653,,60717,60447
60552,5,SUSTAINABLE CHAIRS MEXICO LTDA,,,,60447
60552,10,SUSTAINABLE CHAIRS MEXICO LTDA,60653,,60717,60447
60551,1,STRATEGIC TABLES UNITEDSTATES CORP,,,,60447
60550,1,COMPETITIVE CUPS FRANCE SA,,,,60809
60549,1,VISIONARY PLATES GERMANY ENT,,,,60811
60548,1,EFFICIENT BOWLS ITALY LTDA,,,,60809
60547,1,DYNAMIC SPOONS SPAIN CORP,60322,,60458,60811
60546,1,AGILE FORKS PORTUGAL SA,50733,,,60811
60545,ZK,TRANSPARENT KNIVES NETHERLANDS ENT,,,,60310
60544,WD,INTELLIGENT STRAWS BELGIUM LTDA,,,,60719
60543,1,TECHNOLOGICAL TOYS SWITZERLAND CORP,50532,,60765,50528
60542,1,PROFITABLE BAGS AUSTRIA SA,,,,60595
60541,1,STRUCTURED HANGERS SWEDEN ENT,,,,60656
60540,1,ORGANIZED CRATES NORWAY LTDA,,,,50528
60539,1,RESPONSIBLE BOXES FINLAND CORP,,,,50528
60538,1,COLLABORATIVE BINS DENMARK SA,,,,60719
60537,1,CREATIVE PIPES POLAND ENT,,,,50130
60536,1,PROFESSIONAL TUBES GREECE LTDA,60653,,,60447
60535,1,SCALABLE LIDS TURKEY CORP,,,,60656
60534,1,SOLID CAPS RUSSIA SA,60778,,,50130
60533,1,INSPIRING TRAYS CHINA ENT,60776,,,60310
60532,1,FLEXIBLE BASINS JAPAN LTDA,,,,50130
60531,1,ESTABLISHED COMBS SOUTHKOREA CORP,,,,60719
60530,1,GLOBAL TOOTHBRUSHES INDIA SA,,,,50528
60529,1,DIGITAL PENS PAKISTAN ENT,,,,60719
60528,1,DISRUPTIVE RULERS THAILAND LTDA,,,,50130
60527,2,RESILIENT CASES VIETNAM CORP,,,,50130
60526,2,LEADING COVERS INDONESIA SA,,,,60719
60525,1,SPECIALIZED BUTTONS PHILIPPINES ENT,,,,50130
60525,2,SPECIALIZED BUTTONS PHILIPPINES ENT,,,,50130
60524,1,INTEGRATED CLIPS AUSTRALIA LTDA,,,,50130
60523,1,OPTIMIZED BUCKLES NEWZEALAND CORP,,,,60719
60522,1,PRODUCTIVE FRAMES EGYPT SA,,,,60719
60521,1,COMPETENT SHELVES MOROCCO ENT,,,,60310
60520,1,ADAPTABLE DRAWERS NIGERIA LTDA,,,,60641
60519,1,SECURE BASKETS KENYA CORP,,,,50130
60518,1,INFLUENTIAL COOLERS SOUTHAFRICA SA,,,,60656
60517,1,RECOGNIZED FUNNELS ANGOLA ENT,,,,50528
60516,1,AMBITIOUS BARRELS CHILE LTDA,,,,50130
60515,1,STABLE HELMETS PERU CORP,60602,,60470,50130
60515,2,STABLE HELMETS PERU CORP,,,,50130
60514,1,PREMIUM GOGGLES COLOMBIA SA,60348,,60671,60719
60514,2,PREMIUM GOGGLES COLOMBIA SA,60348,,,60719
60513,1,ADVANCED MASKS URUGUAY ENT,,,,60719
60512,1,ENTREPRENEURIAL GLOVES PARAGUAY LTDA,,,,50130
60511,1,TRUSTED SANDALS BOLIVIA CORP,,,,60310
60511,2,TRUSTED SANDALS BOLIVIA CORP,,,,60809
60510,1,POWERFUL SLIPPERS VENEZUELA SA,,,,50130
60509,1,AUTOMATED TOYS ECUADOR ENT,,,,60801
60508,1,EVOLVING DOLLS CUBA LTDA,,,,50130
60507,1,CONNECTED BALLS ICELAND CORP,,,,60310
60507,3,CONNECTED BALLS ICELAND CORP,,,,60310
60506,1,PROGRESSIVE CONES IRELAND SA,,,,60656
60505,1,RESPONSIVE CORDS BRAZIL ENT,60745,,,60801
60504,1,VERSATILE CABLES ARGENTINA LTDA,60433,60156,,60641
60504,2,VERSATILE CABLES ARGENTINA LTDA,60433,60156,,60641
60504,3,VERSATILE CABLES ARGENTINA LTDA,60433,60156,,60641
60504,4,VERSATILE CABLES ARGENTINA LTDA,60433,60156,,60641
60504,5,VERSATILE CABLES ARGENTINA LTDA,,60156,,60641
60504,6,VERSATILE CABLES ARGENTINA LTDA,,,60803,60641
60504,7,VERSATILE CABLES ARGENTINA LTDA,,,,60641
60504,12,VERSATILE CABLES ARGENTINA LTDA,,60156,,60641
60504,13,VERSATILE CABLES ARGENTINA LTDA,60433,60156,,60641
